SignID,写真ID,写真ファイル名,緯度,経度,採集日時,名称,主要言語,補助言語,装飾的言語,設置主体,担体類型,時間性,可読性,来源類型,視認等級,多言語関係,想定受容者,制作品質,位置描述,備考,_status,言説類型,状態,層状性
HAS-S001-a,HAS-20260531-001,HAS-20260531-001.jpg,35.5972861,139.3422694,2026-05-31 16:50:40,止まれSTOP看板と通学路警告標識,日本語,英語,—,行政/公共機関,路面固定,常設,完全可読,top-down(標準化),歩行可読(<5m),平行型,本地住民,専門印刷,,上段の止まれ看板は日本語と英語(STOP)の平行表示。下段の通学路標識は児童・生徒のシルエットを表示した注意喚起型の標識。両標識が積層された形態で、都市の交差点における安全啓発の複合表示。,ai,禁止・注意,現役,多層
HAS-S002-a,HAS-20260531-002,HAS-20260531-002.jpg,35.5972056,139.3422389,2026-05-31 16:50:48,標識管理番号・電柱用管理札,日本語,—,英語(ROM/ローマ字表記),行政/公共機関,その他,常設,部分可読,top-down(標準化),近距可読(5-15m),単言語型,本地住民,専門印刷,,神奈川県公安委員会による管理札。管理番号95-00501、連絡先042-700-0110を記載。カレンダー表示機能付き。電柱に巻き付ける形式。,ai,政治・行政,現役,単層
HAS-S003-a,HAS-20260531-003,HAS-20260531-003.jpg,35.5972056,139.3422083,2026-05-31 16:50:55,FISHERMAN FOOD TRUCK ST（フィッシャーマン フードトラック）,英語,—,英語(ブランド名),商業,移動物体(停車中),常設,完全可読,bottom-up(ローカル自作),近距可読(5-15m),単言語型,観光客・外国人,専門印刷,,フードトラック側面に白色フォントで店名表記。黄色の太陽マークのロゴが装飾的役割。日本の都市環境に設置されているが、表記言語は英語のみ。シンプルで視認性の高いデザイン。,ai,商品・サービス,現役,単層
HAS-S004-a,HAS-20260531-004,HAS-20260531-004.jpg,35.5972167,139.3422083,2026-05-31 16:50:58,駐車場案内マーキング,日本語,—,—,行政/公共機関,路面固定,常設,完全可読,top-down(標準化),歩行可読(<5m),単言語型,本地住民,専門印刷,,矢印と「↑HIS」の文字により駐車場への進行方向を示す標準的なロードマーキング。白色ペイントで路面に直接表示。駐車施設の進入方向を指示する交通案内標識。,ai,案内,現役,単層
HAS-S005-a,HAS-20260531-005,HAS-20260531-005.jpg,35.5972278,139.3422389,2026-05-31 16:51:05,当番表（当番責任者名簿または当番当番制示意表）,日本語,—,—,個人/非正式,貼付物(ステッカー),臨時/季節的,部分可読,bottom-up(ローカル自作),歩行可読(<5m),単言語型,本地住民,専門印刷,,手書きまたは印刷された当番制度の表示。日本語のみで「当」「番」という文字が確認できる。接地表面の摩耗と苔生、ステッカー自体の劣化が著しい。コミュニティの日常的な管理運営に関連した非公式な情報掲示。ロットナンバー「PQT-1050」が見える。,ai,生活情報,古い/劣化,単層
HAS-S006-a,HAS-20260531-006,HAS-20260531-006.jpg,35.597225,139.3422556,2026-05-31 16:51:11,路面刻印（識別番号）,英語,—,—,行政/公共機関,路面固定,常設,完全可読,top-down(標準化),歩行可読(<5m),単言語型,特定コミュニティ,専門印刷,,路面に刻印された「KHA 510」という識別番号。道路の管理や測量に関する標識と推測される。物理的な刻印であるため、「専門印刷」は最も近い選択肢だが、厳密には異なる。,ai,,,
HAS-S007-a,HAS-20260531-007,HAS-20260531-007.jpg,35.5972222,139.3421778,2026-05-31 16:51:31,最大積載量表示,日本語,—,—,商業,移動物体(停車中),常設,完全可読,top-down(標準化),近距可読(5-15m),単言語型,本地住民,専門印刷,,車両に義務付けられた性能表示。,ai,,,
HAS-S008-a,HAS-20260531-008,HAS-20260531-008.jpg,35.5972222,139.3421639,2026-05-31 16:51:36,駐車禁止表示,日本語,英語,—,不明,その他,常設,完全可読,top-down(標準化),近距可読(5-15m),平行型,本地住民,専門印刷,,ロードコーンに駐車禁止の文字と国際標識が印刷され、さらにL字型のプレートが追加されている。,ai,,,
HAS-S009-a,HAS-20260531-009,HAS-20260531-009.jpg,35.5972333,139.3421472,2026-05-31 16:51:44,駐車禁止・通行禁止警告コーン,日本語,—,—,行政/公共機関,その他,,,top-down(標準化),,単言語型,,,,赤白カラーリングの標準的な交通用コーン。白帯に黒字で「駐車禁止」と記載。禁止マーク(赤丸に青斜線)を視覚的に表示。路面上の一時的な交通規制用物体。,ai,禁止・注意,現役,単層
HAS-S010-a,HAS-20260531-010,HAS-20260531-010.jpg,35.5972278,139.3421639,2026-05-31 16:51:49,選挙候補者ポスター（小田貴久・谷川洋後援会）,日本語,—,—,政治候補者/後援会,貼付物(ポスター),,,top-down(標準化),,単言語型,,,,2枚の選挙ポスターが上下に貼り付けられている。左側は青地で「小田貴久」、右側は赤地で「谷川洋後援会」。いずれも顔写真、候補者名、QRコード、選挙運動情報を含む標準的な選挙ポスターの様式。壁面は既存のビル建築物で、自転車が駐輪されている。,ai,政治・行政,一時掲示,多層
HAS-S011-a,HAS-20260531-011,HAS-20260531-011.jpg,35.5972472,139.3421333,2026-05-31 16:51:55,月極駐車場の利用制限看板,日本語,—,—,商業,建物固定(看板),,,top-down(標準化),,単言語型,,,,青地に白文字で駐車場名を表示し、白地に黒と赤文字で利用制限を明記。契約者以外の無断駐車を禁止する警告看板。フォーマルで標準化された駐車場管理用看板。,ai,禁止・注意,現役,単層
HAS-S012-a,HAS-20260531-012,HAS-20260531-012.jpg,35.5972472,139.3421333,2026-05-31 16:51:58,月極駐車場 無断駐車禁止,日本語,—,—,商業,建物固定(看板),,,top-down(標準化),,単言語型,,,,駐車場管理者による標準的な禁止看板。青色の背景に白字で「月極駐車場」「無断駐車禁止」と明記。建物の金属シャッター側面に設置。また、左奥には色彩識別可能なポスター広告も確認できる。,ai,禁止・注意,現役,単層
HAS-S013-a,HAS-20260531-013,HAS-20260531-013.jpg,35.5972667,139.3421472,2026-05-31 16:52:02,建物側面の小型案内看板（不動産・賃貸関連と推定）,日本語,—,—,商業,建物固定(看板),,,不明,,単言語型,,,,建物左側中段に白と赤の小型看板が複数枚貼付されている。内容は賃貸物件や生活情報と推定されるが、写真の解像度と角度から詳細な文字は判読困難。一般的な都市住宅地の公共空間における標準的な情報掲示,ai,生活情報,現役,単層
HAS-S014-a,HAS-20260531-014,HAS-20260531-014.jpg,35.597275,139.3421333,2026-05-31 16:52:12,ガス・電気メーター検針表示機,日本語,—,—,行政/公共機関,その他,,,top-down(標準化),,単言語型,,,,日本のガス・電気メーター。UHH4型。検針番号(25640976)、バーコード、使用量を示すLCD表示、安全に関する注意書きや企業ロゴを確認できる。建物背面に設置。標準的なインフラ機器に付随する案内表示。,ai,生活情報,現役,単層
HAS-S015-a,HAS-20260531-015,HAS-20260531-015.jpg,35.5972722,139.3421333,2026-05-31 16:52:17,ホイト・ア・ボード 1Rオートロックマンション賃貸広告／テクトピア相模原入居募集,日本語,—,"英語(ブランド名: White A Board, TecTopia)",商業,建物固定(看板),,,top-down(標準化),,単言語型,,,,2枚の異なる看板が縦に積み重なった構成。上部は青地の白字で企業ブランド名と物件情報、下部は赤地で大きく入居募集を告知。電話番号が複数掲載され、かわいらしい動物キャラクター（豚と牛）を使用した親しみやすいデザイン。賃貸仲介業者による物件広告,ai,広告・宣伝,現役,多層
HAS-S016-a,HAS-20260531-016,HAS-20260531-016.jpg,35.5973056,139.3421167,2026-05-31 16:52:23,橋PM47（ポスト・メールボックス識別標識）,日本語,英語,—,行政/公共機関,建物固定(門牌),,,top-down(標準化),,補完型,,,,日本郵便の集配場所を示す標識。「橋」は地名、「PM47」は識別番号。緑色の金属製ボックスに白いラベルを貼付。古い/劣化の兆候あり。,ai,案内,現役,単層
HAS-S017-a,HAS-20260531-017,HAS-20260531-017.jpg,35.5973361,139.3421333,2026-05-31 16:52:33,花屋・生花店の店舗入口,日本語,—,—,商業,建物固定(壁画),,,不明,,単言語型,,,,青いタイル張りの外壁に花のモチーフを配した装飾。ガラス窓に白紙製の装飾花や商品見本が複数貼付されている。店名表示は確認できない。入口上部にスピーカーおよび照明設備あり。商品関連の小型ステッカー・タグが複数見られる。,ai,商品・サービス,現役,多層
HAS-S018-a,HAS-20260531-018,HAS-20260531-018.jpg,35.5973639,139.3420722,2026-05-31 16:52:42,保育園児募集ポスター（フラミンゴキンダーズ楊木西口園）,日本語,—,—,商業,貼付物(ポスター),,,top-down(標準化),,単言語型,,,,保育園の入園募集を告知するポスター。園の活動風景を示す複数の写真を掲載。装飾的な花のイラスト（黄色と白）が添付されている。連絡先電話番号042(774)9229を明記。,ai,広告・宣伝,現役,単層
